Symbol,median_volatility,hist_volatility,mean_momentum,mean_volume_norm,environmentScore,socialScore,governanceScore,marketCap,beta,highestControversy,GICS_Sector_encoded,GICS_Sector,Cluster_DBSCAN
DPZ,0.019925553961936588,0.2872059755065055,1.0049272524346722,3.6087856684332375e-05,9.93,11.85,5.71,23.53227264100248,1.063,2,4.690799999999999,Consumer Discretionary,Safe
DRI,0.016990397478231518,0.26972964168034647,1.0083066757118997,5.38303329879264e-05,10.96,12.77,3.73,23.856595491423526,1.272,2,4.690799999999999,Consumer Discretionary,Safe
DTE,0.014840083210819208,0.1829595814120628,1.0062994364965614,4.060465681938494e-05,13.86,11.84,5.58,24.056448739232778,0.601,2,4.248064516129032,Utilities,Safe
DUK,0.013971207097508263,0.1668514137754122,1.0068831855254214,3.386259798491672e-05,13.82,10.42,2.91,25.246603482796868,0.465,2,4.248064516129032,Utilities,Safe
DVA,0.021576114722340188,0.30808853245369405,1.0155365672014307,7.145040396451589e-05,0.07,14.44,7.27,23.16108092401188,0.989,2,5.7454237288135594,Health Care,Safe
DVN,0.020605051748643303,0.2696933947934616,0.9932629677469125,0.00036170624356189087,17.4,8.04,6.12,23.82860302550304,1.954,2,5.838636363636363,Energy,Risky
DXCM,0.02699541143604437,0.5234925457249336,0.9880269607166758,0.00011403620133598694,4.41,10.4,5.43,24.23786583645035,1.288,1,5.7454237288135594,Health Care,Risky
EA,0.015808117357356884,0.2513881878500737,0.9980313130547364,7.015848353502222e-05,0.31,8.43,4.22,24.240160023449842,0.783,1,6.428421052631579,Communication Services,Safe
EBAY,0.019039549700589378,0.273266450977315,1.0177475230960662,0.000171965056708965,2.71,8.05,4.44,24.13746238564759,1.442,2,4.690799999999999,Consumer Discretionary,Safe
ECL,0.013023415202453193,0.1935338366544998,1.0097910357326707,1.455469692426853e-05,11.06,7.25,5.56,25.058701870650268,1.144,2,4.296296296296297,Materials,Safe
ED,0.014597827886371139,0.17360572655684964,1.0026951582453445,5.5456095332439844e-05,7.94,8.65,4.52,24.30858817588125,0.285,2,4.248064516129032,Utilities,Safe
EFX,0.0204879856680934,0.29028574667702894,1.0021861991297856,2.9773374428754313e-05,0.23,16.75,5.23,24.13524180995665,1.647,2,4.938666666666666,Industrials,Safe
EG,0.016951514814814883,0.24013294940722296,0.9977453829004577,2.386808199828464e-05,1.39,6.67,9.91,23.450388531214678,0.609,1,8.912463768115943,Financials,Moderate
EIX,0.016666710340846116,0.26594095518489475,0.9911186363381785,0.00012362146570532551,8.38,12.11,3.48,23.78104649386365,0.88,3,4.248064516129032,Utilities,Safe
EL,0.027447590354269417,0.4550557349474821,0.9789518863485682,0.0001450274027670665,5.59,10.47,7.9,23.951885990341847,1.071,1,4.580285714285714,Consumer Staples,Risky
ELV,0.016705380104735195,0.23952919407838308,0.9936239709859735,1.4454000965041109e-05,0.09,5.26,3.97,25.22216085053904,0.865,2,5.7454237288135594,Health Care,Safe
EMN,0.017944844637143534,0.23251953331852998,1.0057968471368113,9.107063605028307e-05,21.57,8.05,4.85,23.110078942654752,1.451,2,4.296296296296297,Materials,Risky
